id,layer,category,trigger,condition,if_action,else_action,severity,how_to_use,when_to_use,why_to_use,source_doc
AS-0017,scenarios,tool_policy,skill path hits: github allowlist blocked repository,scenario.match count >= 1 and score >= 4.0,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0018,scenarios,tool_policy,after bootstrap: github allowlist blocked repository,scenario.match score < chat_gate min_score,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0019,scenarios,tool_policy,in production: github allowlist blocked repository,severity is critical,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0020,scenarios,tool_policy,during local dev: github allowlist blocked repository,severity is low,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0021,scenarios,tool_policy,on digitalocean deploy: github allowlist blocked repository,policy_handler_if is not None,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0022,scenarios,tool_policy,when brain enabled: github allowlist blocked repository,policy_handler_if is None,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0023,scenarios,tool_policy,github api 429 rate limit,error contains github_repository_not_allowed,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0024,scenarios,tool_policy,agent observes: github api 429 rate limit,error contains 429,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0025,scenarios,tool_policy,operator reports: github api 429 rate limit,pack filter is github,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0026,scenarios,tool_policy,runtime detects: github api 429 rate limit,pack filter is all,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0027,scenarios,tool_policy,chat turn includes: github api 429 rate limit,format_policy_evidence returned non-empty,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0028,scenarios,tool_policy,skill path hits: github api 429 rate limit,noise-only tokens matched weak row,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0029,scenarios,tool_policy,after bootstrap: github api 429 rate limit,allowlist mode is restricted,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0030,scenarios,tool_policy,in production: github api 429 rate limit,tool_errors is non-empty,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0031,scenarios,tool_policy,during local dev: github api 429 rate limit,scenario.match count == 0,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0032,scenarios,tool_policy,on digitalocean deploy: github api 429 rate limit,scenario.match count >= 1 and score >= 4.0,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0033,scenarios,tool_policy,when brain enabled: github api 429 rate limit,scenario.match score < chat_gate min_score,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0034,scenarios,tool_policy,github 401 bad credentials,severity is critical,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0035,scenarios,tool_policy,agent observes: github 401 bad credentials,severity is low,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0036,scenarios,tool_policy,operator reports: github 401 bad credentials,policy_handler_if is not None,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0037,scenarios,tool_policy,runtime detects: github 401 bad credentials,policy_handler_if is None,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0038,scenarios,tool_policy,chat turn includes: github 401 bad credentials,error contains github_repository_not_allowed,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0039,scenarios,tool_policy,skill path hits: github 401 bad credentials,error contains 429,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0040,scenarios,tool_policy,after bootstrap: github 401 bad credentials,pack filter is github,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0041,scenarios,tool_policy,in production: github 401 bad credentials,pack filter is all,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0042,scenarios,tool_policy,during local dev: github 401 bad credentials,format_policy_evidence returned non-empty,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0043,scenarios,tool_policy,on digitalocean deploy: github 401 bad credentials,noise-only tokens matched weak row,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0044,scenarios,tool_policy,when brain enabled: github 401 bad credentials,allowlist mode is restricted,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0045,scenarios,tool_policy,web search not configured,tool_errors is non-empty,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0046,scenarios,tool_policy,agent observes: web search not configured,scenario.match count == 0,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0047,scenarios,tool_policy,operator reports: web search not configured,scenario.match count >= 1 and score >= 4.0,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0048,scenarios,tool_policy,runtime detects: web search not configured,scenario.match score < chat_gate min_score,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0049,scenarios,tool_policy,chat turn includes: web search not configured,severity is critical,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0050,scenarios,tool_policy,skill path hits: web search not configured,severity is low,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0051,scenarios,tool_policy,after bootstrap: web search not configured,policy_handler_if is not None,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0052,scenarios,tool_policy,in production: web search not configured,policy_handler_if is None,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0053,scenarios,tool_policy,during local dev: web search not configured,error contains github_repository_not_allowed,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0054,scenarios,tool_policy,on digitalocean deploy: web search not configured,error contains 429,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0055,scenarios,tool_policy,when brain enabled: web search not configured,pack filter is github,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0056,scenarios,tool_policy,web search empty query,pack filter is all,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0057,scenarios,tool_policy,agent observes: web search empty query,format_policy_evidence returned non-empty,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0058,scenarios,tool_policy,operator reports: web search empty query,noise-only tokens matched weak row,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0059,scenarios,tool_policy,runtime detects: web search empty query,allowlist mode is restricted,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0060,scenarios,tool_policy,chat turn includes: web search empty query,tool_errors is non-empty,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0061,scenarios,tool_policy,skill path hits: web search empty query,scenario.match count == 0,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0062,scenarios,tool_policy,after bootstrap: web search empty query,scenario.match count >= 1 and score >= 4.0,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0063,scenarios,tool_policy,in production: web search empty query,scenario.match score < chat_gate min_score,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0064,scenarios,tool_policy,during local dev: web search empty query,severity is critical,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0065,scenarios,tool_policy,on digitalocean deploy: web search empty query,severity is low,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0066,scenarios,tool_policy,when brain enabled: web search empty query,policy_handler_if is not None,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0067,scenarios,tool_policy,scrape anti-bot 403,policy_handler_if is None,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0068,scenarios,tool_policy,agent observes: scrape anti-bot 403,error contains github_repository_not_allowed,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0069,scenarios,tool_policy,operator reports: scrape anti-bot 403,error contains 429,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
