"id","service","category","trigger","condition","if_action","else_action","severity","source_doc"
"FS-0025","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape URL is a JS-rendered SPA (needs wait_for)","Mark scrape 'success'; emit markdown / HTML / JSON to caller","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0026","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape URL returns 4xx (client error)","Retry with higher timeout (up to 60000ms) on SCRAPE_TIMEOUT","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0027","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape URL returns 5xx (server error)","Retry with skipTlsVerification:true on SCRAPE_SSL_ERROR","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0028","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape URL requires login (cookie wall)","Escalate to proxy='stealth' on 401/403/500 (5 credits)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0029","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape URL has anti-bot detection (Cloudflare, DataDome)","Add wait_for and re-render for JS-heavy SPAs","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0030","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape max_age allows cache hit (<= now - scraped_at)","Use Steel session for login-walled pages (cookies from profile)","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0031","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape max_age forces fresh fetch (now)","Use /v2/map first to discover URLs, then /v2/scrape each","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0032","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape store_in_cache seeds the cache for future lockdown use","Strip nav/footer via onlyMainContent:true (default)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0033","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.actions is set (browser actions before capture)","Use includeTags / excludeTags to filter DOM","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0034","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.actions selector is invalid (action fails - SCRAPE_ACTION_ERROR)","Set custom User-Agent via headers (bypass naive UA blocks)","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0035","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.proxy == 'auto' (basic first, stealth retry on 401/403/500)","Use location to geo-target (country / languages)","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0036","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.proxy == 'stealth' (always 5 credits)","Parse PDF with parsers:['pdf'] (auto / fast / ocr modes)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0037","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.proxy == 'basic' (default)","Parse DOCX / image (parsers includes right type)","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0038","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.skipTlsVerification == true (bypass invalid cert)","Set max_age=0 for fresh fetch (no cache)","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0039","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.skipTlsVerification == false (default - reject invalid cert)","Store result in cache (store_in_cache:true) for later lockdown use","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0040","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.zeroDataRetention == true (compliance mode)","Re-render after a click / write / wait action (page.screenshot mid-flow)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0041","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.zeroDataRetention == true AND screenshot requested (ZDR violation)","Take screenshot (formats:['screenshot']) for visual record","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0042","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.lockdown == true (cache only, no live fetch)","Extract structured JSON (formats:['json']) with schema or prompt","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0043","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.lockdown == true AND no cached data for URL (404 SCRAPE_LOCKDOWN_CACHE_MISS)","Use proxy='auto' (cheap basic, fallback stealth)","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0044","firecrawl","fc_scrape","Scrape returns markdown format (default)","scrape.url is a valid http(s) URL","Retry with higher timeout (up to 60000ms) on SCRAPE_TIMEOUT","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0045","firecrawl","fc_scrape","Scrape returns markdown format (default)","scrape.url is invalid / unreachable (DNS / 4xx / 5xx)","Retry with skipTlsVerification:true on SCRAPE_SSL_ERROR","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0046","firecrawl","fc_scrape","Scrape returns markdown format (default)","scrape formats includes 'markdown' (default)","Escalate to proxy='stealth' on 401/403/500 (5 credits)","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0047","firecrawl","fc_scrape","Scrape returns markdown format (default)","scrape formats includes 'html' / 'rawHtml' (alternative)","Add wait_for and re-render for JS-heavy SPAs","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0048","firecrawl","fc_scrape","Scrape returns markdown format (default)","scrape formats includes 'screenshot' (needs storage)","Use Steel session for login-walled pages (cookies from profile)","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0049","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.url is a valid start URL","Start crawl; poll /v2/crawl/{id} or use webhooks for events","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0050","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.url is a sitemap.xml (sitemap-only mode)","Set includePaths / excludePaths to bound scope","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0051","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.url is invalid (404 at start)","Set crawlEntireDomain:true to traverse the whole domain","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0052","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.includePaths set (regex/list of paths to keep)","Set sitemap:include / skip / only to control sitemap use","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0053","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.excludePaths set (skip paths)","Set limit (crawl size) AND verify credits cover it (avoid 402)","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0054","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.crawlEntireDomain == true (no path filter)","Set delay to stay under target site's rate limit (forces concurrency=1)","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0055","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.limit set (max pages)","Set maxConcurrency to cap parallelism (per job)","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0056","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.limit unset (uses plan default, may be huge)","Enable Enhanced Mode (stealth + geo + adaptive retry) for hard sites","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0057","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.limit * estimated_credits <= plan_credits (covered)","Check /v2/crawl/{id}/errors for robots_blocked + network errors","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0058","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.limit * estimated_credits > plan_credits (402 Payment Required)","Resume or accept partial results if status != completed","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0059","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.delay > 0 (concurrency forced to 1)","Cancel crawl if user requests (job stops, partial data kept)","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0060","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.maxConcurrency <= plan_concurrency","Use Steel session for the interactive subset of crawled pages","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0061","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.maxConcurrency > plan_concurrency (clamped)","Use changeTracking format on crawl to diff each page","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0062","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.enhancedMode (stealth + geo + adaptive retry) is on","Start crawl; poll /v2/crawl/{id} or use webhooks for events","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0063","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.status == 'scraping' (in progress)","Set includePaths / excludePaths to bound scope","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0064","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.status == 'completed'","Set crawlEntireDomain:true to traverse the whole domain","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0065","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.status == 'failed'","Set sitemap:include / skip / only to control sitemap use","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0066","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.cancelled by user (job stops, partial results retained)","Set limit (crawl size) AND verify credits cover it (avoid 402)","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0067","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.data array has < limit pages (some failed)","Set delay to stay under target site's rate limit (forces concurrency=1)","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0068","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.errors endpoint returns robots_blocked list (respect robots.txt)","Set maxConcurrency to cap parallelism (per job)","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0069","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.errors endpoint returns network errors (DNS, timeout)","Enable Enhanced Mode (stealth + geo + adaptive retry) for hard sites","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0070","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.webhook is set (events: started / page / completed)","Check /v2/crawl/{id}/errors for robots_blocked + network errors","Do not exceed limit beyond plan credits (402 stops the crawl mid-run)","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
