"id","category","trigger","condition","if_action","else_action","severity","source_doc"
"RS-0026","build","Build command executes (npm install / pip install / go build)","build_log matches /ModuleNotFoundError|ERROR: No matching distribution|cannot find module/i","Regenerate lockfile locally (rm lockfile + install); commit; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0027","build","Build command executes (npm install / pip install / go build)","build_log matches /EACCES|permission denied|ENOSPC|out of memory|exit status 137/i","Pin language version in .nvmrc / runtime.txt / engines; commit; redeploy","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0028","build","Build command executes (npm install / pip install / go build)","build_elapsed_seconds > 7200 (120 min build timeout)","Set the missing env var via dashboard or PATCH /v1/services/{id}; redeploy","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0029","build","Build command executes (npm install / pip install / go build)","package-lock.json AND package.json hashes diverge from repo HEAD","Add CMD or ENTRYPOINT to Dockerfile; commit; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0030","build","Build command executes (npm install / pip install / go build)","engines.node != .nvmrc AND engines.node != render runtime","Install missing OS dep in Dockerfile (apt-get install -y); commit; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0031","build","Build command executes (npm install / pip install / go build)","runtime.txt != python_version in app config","Increase plan tier (more RAM) or split build; commit reduced scope; redeploy","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0032","build","Build command executes (npm install / pip install / go build)","build_env contains required secret (sync:false) AND value is null","Reduce build scope (--omit=dev for npm, --no-deps for pip); commit; redeploy","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0033","build","Build command executes (npm install / pip install / go build)","Dockerfile is present AND contains CMD or ENTRYPOINT","Remove interactive prompts (--yes, -y); commit; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0034","build","Build command executes (npm install / pip install / go build)","Dockerfile is present AND lacks both CMD and ENTRYPOINT","Trigger deploy manually via POST /v1/services/{id}/deploys","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0035","build","Build command executes (npm install / pip install / go build)","render.yaml has healthCheckPath AND app actually serves that path with 2xx","Wait for required CI check to pass; auto-retry deploy when green","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0036","build","Build command executes (npm install / pip install / go build)","render.yaml has preDeployCommand AND command timed out (30 min)","Skip deploy (no auto-deploy); notify operator with commit SHA","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0037","build","Build command executes (npm install / pip install / go build)","build_log contains 'error:' AND build step is past dependency install","Migrate secret from .env to env group; rotate; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0038","build","Build command executes (npm install / pip install / go build)","git HEAD commit has zero GitHub checks","Move build into pre-built Docker image (Render Image) to skip build","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0039","build","Build command executes (npm install / pip install / go build)","git HEAD commit has at least one GitHub check with conclusion != success/neutral/skipped","Mark deploy 'succeeded'; emit 'build_ok' event; release deploy lease","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0040","build","Build command executes (npm install / pip install / go build)","GitHub repo has Render auto-deploy enabled AND new commit on tracked branch","Mark deploy 'failed'; tail build log; extract first 'error:' line; open PR with fix","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0041","build","Build command executes (npm install / pip install / go build)","API call POST /v1/services/{id}/deploys returns 200","Suggest adding dependency to package.json/requirements.txt and rerun","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0042","build","Build command executes (npm install / pip install / go build)","Webhook secret in header matches stored signing secret (HMAC verify)","Regenerate lockfile locally (rm lockfile + install); commit; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0043","build","Build command executes (npm install / pip install / go build)","render.yaml envVars with generateValue:true already exists for that key","Pin language version in .nvmrc / runtime.txt / engines; commit; redeploy","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0044","build","Build command executes (npm install / pip install / go build)","build_artifact_size > 1GB (Render cache cap)","Set the missing env var via dashboard or PATCH /v1/services/{id}; redeploy","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0045","build","Build command executes (npm install / pip install / go build)","build attempts nested 'docker build' (DinD not allowed)","Add CMD or ENTRYPOINT to Dockerfile; commit; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0046","build","Build command executes (npm install / pip install / go build)","build attempts interactive prompt (Render non-interactive)","Install missing OS dep in Dockerfile (apt-get install -y); commit; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0047","build","Build command approaches the 120-minute timeout","build_exit_code == 0 AND build_log matches /installed successfully/","Suggest adding dependency to package.json/requirements.txt and rerun","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0048","build","Build command approaches the 120-minute timeout","build_exit_code != 0","Regenerate lockfile locally (rm lockfile + install); commit; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0049","build","Build command approaches the 120-minute timeout","build_log matches /ModuleNotFoundError|ERROR: No matching distribution|cannot find module/i","Pin language version in .nvmrc / runtime.txt / engines; commit; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0050","build","Build command approaches the 120-minute timeout","build_log matches /EACCES|permission denied|ENOSPC|out of memory|exit status 137/i","Set the missing env var via dashboard or PATCH /v1/services/{id}; redeploy","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0051","build","Build command approaches the 120-minute timeout","build_elapsed_seconds > 7200 (120 min build timeout)","Add CMD or ENTRYPOINT to Dockerfile; commit; redeploy","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0052","build","Build command approaches the 120-minute timeout","package-lock.json AND package.json hashes diverge from repo HEAD","Install missing OS dep in Dockerfile (apt-get install -y); commit; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0053","build","Build command approaches the 120-minute timeout","engines.node != .nvmrc AND engines.node != render runtime","Increase plan tier (more RAM) or split build; commit reduced scope; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0054","build","Build command approaches the 120-minute timeout","runtime.txt != python_version in app config","Reduce build scope (--omit=dev for npm, --no-deps for pip); commit; redeploy","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0055","build","Build command approaches the 120-minute timeout","build_env contains required secret (sync:false) AND value is null","Remove interactive prompts (--yes, -y); commit; redeploy","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0056","build","Build command approaches the 120-minute timeout","Dockerfile is present AND contains CMD or ENTRYPOINT","Trigger deploy manually via POST /v1/services/{id}/deploys","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0057","boot","Service process starts in a new instance","PORT env is set AND app calls app.listen(process.env.PORT, '0.0.0.0')","Wait for health check to pass; mark deploy 'live'; send 'deploy_live' webhook","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0058","boot","Service process starts in a new instance","app binds to 0.0.0.0:PORT (Render port detection)","Mark deploy 'failed' (health check); trigger auto-rollback to last good","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0059","boot","Service process starts in a new instance","app binds to 127.0.0.1:PORT (Render cannot route)","Mark deploy 'failed' (process exited); capture exit code + last log line; rollback","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0060","boot","Service process starts in a new instance","app binds to a hardcoded port != process.env.PORT","Force restart instance (Render auto-restarts on persistent failure)","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0061","boot","Service process starts in a new instance","process_exit_code == 0 within 60s of start","Check app's listen call; emit 'port_binding_mismatch' remediation guide","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0062","boot","Service process starts in a new instance","process_exit_code == 1 (uncaught exception)","Check OOM in metrics; suggest plan upgrade OR add NODE_OPTIONS=--max-old-space-size","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0063","boot","Service process starts in a new instance","process_exit_code == 127 (command not found)","Add healthCheckPath to render.yaml; add /healthz handler that returns 200; redeploy","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0064","boot","Service process starts in a new instance","process_exit_code == 137 (OOM kill)","Make health check handler lightweight (no DB / external calls); redeploy","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0065","boot","Service process starts in a new instance","health_check_path returns 2xx within 5s for 3 consecutive checks","Set healthCheckPath to /ready (heavy check); let /healthz be the always-200; redeploy","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0066","boot","Service process starts in a new instance","health_check_path returns 4xx or 5xx within 5s","Increase maxShutdownDelaySeconds (up to 300s); redeploy","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0067","boot","Service process starts in a new instance","health_check_path times out (>5s) without responding","Wrap start command with 'exec' to forward SIGTERM; redeploy","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0068","boot","Service process starts in a new instance","consecutive_health_check_failures >= 3 (>=15s) on a single instance","Cancel in-flight deploy; queue new deploy; coalesce overlapping deploys","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0069","boot","Service process starts in a new instance","consecutive_health_check_failures >= 12 (>=60s) on a single instance","Suggest add-on for /tmp or persistent disk; or set restart policy","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0070","boot","Service process starts in a new instance","all_new_instances healthy simultaneously within 900s (15-min grace)","Suggest moving model loading out of request path (lazy load); redeploy","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0071","boot","Service process starts in a new instance","deploy_elapsed_seconds > 900 (15-min grace exhausted)","Mark deploy 'failed' (timeout); rollback; alert on-call","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0072","boot","Service process starts in a new instance","old_instance_exit_within_maxShutdownDelaySeconds (default 30s, max 300s)","Probe new instance with synthetic request; if 2xx, mark live","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0073","boot","Service process starts in a new instance","process_does_not_handle_SIGTERM (no graceful shutdown)","Wait for health check to pass; mark deploy 'live'; send 'deploy_live' webhook","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0074","boot","Service process starts in a new instance","process_does_not_call_server.close() on Express / no lifespan on FastAPI","Mark deploy 'failed' (health check); trigger auto-rollback to last good","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0075","boot","Service process starts in a new instance","concurrent_deploy_count > 1 for this service (overlap)","Mark deploy 'failed' (process exited); capture exit code + last log line; rollback","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0076","boot","Service process starts in a new instance","instance_restart_count_last_5min >= 3 (restart loop)","Force restart instance (Render auto-restarts on persistent failure)","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0077","boot","Service process starts in a new instance","model_load_GB > instance_RAM_GB (predictive OOM)","Check app's listen call; emit 'port_binding_mismatch' remediation guide","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0078","boot","Service process starts in a new instance","health_check_handler calls DB on every call (slow, false negatives)","Check OOM in metrics; suggest plan upgrade OR add NODE_OPTIONS=--max-old-space-size","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0079","boot","Service process starts in a new instance","health_check_handler calls external API (cascading failures)","Add healthCheckPath to render.yaml; add /healthz handler that returns 200; redeploy","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0080","boot","Service process starts in a new instance","health_check_path == '/' AND app root returns 200","Make health check handler lightweight (no DB / external calls); redeploy","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0081","boot","Service process starts in a new instance","service has no healthCheckPath configured (TCP fallback only)","Set healthCheckPath to /ready (heavy check); let /healthz be the always-200; redeploy","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0082","boot","Service process starts in a new instance","tcp_check_port accepts connection within 5s (Render default)","Increase maxShutdownDelaySeconds (up to 300s); redeploy","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0083","boot","App attempts to bind to a port","PORT env is set AND app calls app.listen(process.env.PORT, '0.0.0.0')","Mark deploy 'failed' (health check); trigger auto-rollback to last good","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0084","boot","App attempts to bind to a port","app binds to 0.0.0.0:PORT (Render port detection)","Mark deploy 'failed' (process exited); capture exit code + last log line; rollback","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0085","boot","App attempts to bind to a port","app binds to 127.0.0.1:PORT (Render cannot route)","Force restart instance (Render auto-restarts on persistent failure)","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0086","boot","App attempts to bind to a port","app binds to a hardcoded port != process.env.PORT","Check app's listen call; emit 'port_binding_mismatch' remediation guide","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0087","boot","App attempts to bind to a port","process_exit_code == 0 within 60s of start","Check OOM in metrics; suggest plan upgrade OR add NODE_OPTIONS=--max-old-space-size","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0088","boot","App attempts to bind to a port","process_exit_code == 1 (uncaught exception)","Add healthCheckPath to render.yaml; add /healthz handler that returns 200; redeploy","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0089","boot","App attempts to bind to a port","process_exit_code == 127 (command not found)","Make health check handler lightweight (no DB / external calls); redeploy","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0090","boot","App attempts to bind to a port","process_exit_code == 137 (OOM kill)","Set healthCheckPath to /ready (heavy check); let /healthz be the always-200; redeploy","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0091","boot","App attempts to bind to a port","health_check_path returns 2xx within 5s for 3 consecutive checks","Increase maxShutdownDelaySeconds (up to 300s); redeploy","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0092","boot","App attempts to bind to a port","health_check_path returns 4xx or 5xx within 5s","Wrap start command with 'exec' to forward SIGTERM; redeploy","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0093","boot","App attempts to bind to a port","health_check_path times out (>5s) without responding","Cancel in-flight deploy; queue new deploy; coalesce overlapping deploys","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0094","boot","App attempts to bind to a port","consecutive_health_check_failures >= 3 (>=15s) on a single instance","Suggest add-on for /tmp or persistent disk; or set restart policy","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0095","boot","App attempts to bind to a port","consecutive_health_check_failures >= 12 (>=60s) on a single instance","Suggest moving model loading out of request path (lazy load); redeploy","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0096","boot","App attempts to bind to a port","all_new_instances healthy simultaneously within 900s (15-min grace)","Mark deploy 'failed' (timeout); rollback; alert on-call","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0097","boot","App attempts to bind to a port","deploy_elapsed_seconds > 900 (15-min grace exhausted)","Probe new instance with synthetic request; if 2xx, mark live","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0098","boot","App attempts to bind to a port","old_instance_exit_within_maxShutdownDelaySeconds (default 30s, max 300s)","Wait for health check to pass; mark deploy 'live'; send 'deploy_live' webhook","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0099","boot","App attempts to bind to a port","process_does_not_handle_SIGTERM (no graceful shutdown)","Mark deploy 'failed' (health check); trigger auto-rollback to last good","Mark deploy 'failed'; do not auto-rollback (need human eyes on new failure mode)","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0100","boot","App attempts to bind to a port","process_does_not_call_server.close() on Express / no lifespan on FastAPI","Mark deploy 'failed' (process exited); capture exit code + last log line; rollback","Capture boot logs and exit code; page on-call with full context","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0101","boot","App attempts to bind to a port","concurrent_deploy_count > 1 for this service (overlap)","Force restart instance (Render auto-restarts on persistent failure)","Keep old service running; surface new instance logs to operator","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
"RS-0102","boot","App attempts to bind to a port","instance_restart_count_last_5min >= 3 (restart loop)","Check app's listen call; emit 'port_binding_mismatch' remediation guide","Pause auto-deploy on this branch; require manual deploy","high","render.com/docs/health-checks; render.com/articles/how-render-handles-zero-downtime-deploys"
