"id","category","trigger","condition","if_action","else_action","severity","source_doc"
"CO-0016","session","Agent calls composio.create(userId) to open a new session","session tool count > 50 (severe degradation)","Use COMPOSIO_SEARCH_TOOLS for NL discovery (broad queries)","Re-init SDK with correct API key; surface 'invalid key' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0017","session","Agent calls composio.create(userId) to open a new session","session.workbench has files (compute state present)","Use COMPOSIO_EXECUTE_TOOL for runtime tool calling (after search)","Block tool calls; surface 'userID must be stable' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0018","session","Agent calls composio.create(userId) to open a new session","session.proxyExecute called with relative endpoint","Return clear error to agent: 'no tool found for query X'","Refuse to open session with empty userID (no fallback - security risk)","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0019","session","Agent calls composio.create(userId) to open a new session","session.proxyExecute called with cross-domain absolute URL","Provide example tool calls in agent prompt (improve schema understanding)","Refuse to open session with PII as userID; pseudonymize first","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0020","session","Agent calls composio.create(userId) to open a new session","session.proxyExecute called with same-registrable-domain cross-subdomain","Use Tool Router MCP endpoint (unified surface for Claude Code / Cursor / etc.)","Refuse to open session with tool count > 50; split or filter","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0021","session","Agent calls composio.create(userId) to open a new session","MCP Tool Router endpoint is reachable (HTTPS 200)","Use a provider for your framework (Vercel AI SDK, OpenAI Agents, LangChain)","Block tool calls; surface 'no ACTIVE connected account' to user with Connect Link","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0022","session","Agent calls composio.create(userId) to open a new session","MCP Tool Router endpoint is behind a proxy that strips auth","Return session_id; pass to subsequent tool calls; userID is the scope","Page on-call; capture session_id; halt dependent tool calls; require human triage","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0023","session","Agent calls composio.create(userId) to open a new session","session.authorize() returns a Connect Link (status=INITIATED)","Re-init SDK with valid COMPOSIO_API_KEY; retry session.create","Re-init SDK with correct API key; surface 'invalid key' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0024","session","Agent calls composio.create(userId) to open a new session","session.authorize() returns an error (auth config missing)","Use hashed/pseudonymized userID; never pass email/phone as userID","Block tool calls; surface 'userID must be stable' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0025","session","Agent calls composio.create(userId) to open a new session","meta tool COMPOSIO_MANAGE_CONNECTIONS is invoked (correct path for auth)","Open session with toolkits filter (limit to 5-10 needed toolkits)","Refuse to open session with empty userID (no fallback - security risk)","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0026","session","Agent calls composio.create(userId) to open a new session","meta tool COMPOSIO_SEARCH_TOOLS is invoked with too-broad query (no results)","Open session with no filter only for agent discovery phase (then narrow)","Refuse to open session with PII as userID; pseudonymize first","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0027","session","Agent calls composio.create(userId) to open a new session","meta tool COMPOSIO_EXECUTE_TOOL is invoked with wrong arguments","Pin connected_account_id explicitly (avoid auto-pick ambiguity)","Refuse to open session with tool count > 50; split or filter","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0028","session","Agent calls composio.create(userId) to open a new session","meta tool COMPOSIO_SANDBOX is invoked (sandbox compute)","Use alias to select connected account (more stable than ID across re-auth)","Block tool calls; surface 'no ACTIVE connected account' to user with Connect Link","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0029","session","Agent opens a session with no toolkit filter (all toolkits)","composio_create_response.status == 200 AND session_id returned","Re-init SDK with valid COMPOSIO_API_KEY; retry session.create","Page on-call; capture session_id; halt dependent tool calls; require human triage","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0030","session","Agent opens a session with no toolkit filter (all toolkits)","composio_create_response.status == 401 (bad API key)","Use hashed/pseudonymized userID; never pass email/phone as userID","Re-init SDK with correct API key; surface 'invalid key' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0031","session","Agent opens a session with no toolkit filter (all toolkits)","session.userID is non-empty and stable","Open session with toolkits filter (limit to 5-10 needed toolkits)","Block tool calls; surface 'userID must be stable' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0032","session","Agent opens a session with no toolkit filter (all toolkits)","session.userID is empty / null","Open session with no filter only for agent discovery phase (then narrow)","Refuse to open session with empty userID (no fallback - security risk)","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0033","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.scheme == 'OAUTH2' (managed app used)","Use managed OAuth app for dev; switch to BYO for prod (branding, scopes)","Block connection attempts; require operator to fix auth config","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0034","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.scheme == 'OAUTH2' with custom (BYO) OAuth client","Use the right scheme: OAUTH2 / API_KEY / BEARER_TOKEN / BASIC_AUTH","Re-consent user with new scopes; surface to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0035","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.scheme == 'BEARER_TOKEN' (user-supplied long-lived)","Add custom scopes to auth config; re-consent user to apply","Block connection; surface callback URL mismatch to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0036","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.scheme == 'API_KEY' (header or query param)","Fix callback_url to match provider app config","Enable auth config before allowing connections (PATCH status=ENABLED)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0037","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.scheme == 'BASIC_AUTH' (user:pass)","Add missing credentials to dashboard (encrypted at rest)","Migrate deprecated endpoint before cutover (POST /connected_accounts -> /link)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0038","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.scheme == 'DCR_OAUTH' (deprecated path - cutover Jul 3 2026)","Enable the auth config (PATCH status=ENABLED) before users can connect","Block connection attempts; require operator to fix auth config","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0039","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.scopes are sufficient for the toolkit's actions","Disable auth config to block new connections (preserves existing)","Re-consent user with new scopes; surface to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0040","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.scopes are insufficient (tool calls will 403 from upstream)","Migrate from POST /connected_accounts to /link for OAUTH2 / DCR_OAUTH (Jul 3 2026)","Block connection; surface callback URL mismatch to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0041","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.callback_url matches provider app config","Use POST /connected_accounts for API_KEY / BEARER (still works)","Enable auth config before allowing connections (PATCH status=ENABLED)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0042","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.callback_url mismatches provider app config (OAuth error)","Call fetch_config to discover fields the user must supply at connect time","Migrate deprecated endpoint before cutover (POST /connected_accounts -> /link)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0043","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.credentials are present in dashboard (encrypted at rest)","Document the auth config flow in your app (Connect Link, callback, etc.)","Block connection attempts; require operator to fix auth config","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0044","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.credentials are missing (POST will fail)","Avoid deleting auth configs (orphans existing connections)","Re-consent user with new scopes; surface to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0045","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.status == 'ENABLED'","Use managed OAuth app for dev; switch to BYO for prod (branding, scopes)","Block connection; surface callback URL mismatch to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0046","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.status == 'DISABLED' (no new connections allowed)","Use the right scheme: OAUTH2 / API_KEY / BEARER_TOKEN / BASIC_AUTH","Enable auth config before allowing connections (PATCH status=ENABLED)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0047","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config uses Composio managed OAuth app (good for dev)","Add custom scopes to auth config; re-consent user to apply","Migrate deprecated endpoint before cutover (POST /connected_accounts -> /link)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0048","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config uses BYO OAuth app (required for prod - branding, custom scopes)","Fix callback_url to match provider app config","Block connection attempts; require operator to fix auth config","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0049","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.fetch_config returns fields the user must supply at connect time","Add missing credentials to dashboard (encrypted at rest)","Re-consent user with new scopes; surface to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0050","auth","Operator creates an auth config for a toolkit (OAuth2)","auth_config.delete is called (destructive; existing connections orphaned)","Enable the auth config (PATCH status=ENABLED) before users can connect","Block connection; surface callback URL mismatch to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0051","auth","Operator creates an auth config with custom scopes","auth_config.scheme == 'OAUTH2' (managed app used)","Use the right scheme: OAUTH2 / API_KEY / BEARER_TOKEN / BASIC_AUTH","Block connection attempts; require operator to fix auth config","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0052","auth","Operator creates an auth config with custom scopes","auth_config.scheme == 'OAUTH2' with custom (BYO) OAuth client","Add custom scopes to auth config; re-consent user to apply","Re-consent user with new scopes; surface to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0053","auth","Operator creates an auth config with custom scopes","auth_config.scheme == 'BEARER_TOKEN' (user-supplied long-lived)","Fix callback_url to match provider app config","Block connection; surface callback URL mismatch to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0054","auth","Operator creates an auth config with custom scopes","auth_config.scheme == 'API_KEY' (header or query param)","Add missing credentials to dashboard (encrypted at rest)","Enable auth config before allowing connections (PATCH status=ENABLED)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0055","auth","Operator creates an auth config with custom scopes","auth_config.scheme == 'BASIC_AUTH' (user:pass)","Enable the auth config (PATCH status=ENABLED) before users can connect","Migrate deprecated endpoint before cutover (POST /connected_accounts -> /link)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0056","auth","Operator creates an auth config with custom scopes","auth_config.scheme == 'DCR_OAUTH' (deprecated path - cutover Jul 3 2026)","Disable auth config to block new connections (preserves existing)","Block connection attempts; require operator to fix auth config","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0057","auth","Operator creates an auth config with custom scopes","auth_config.scopes are sufficient for the toolkit's actions","Migrate from POST /connected_accounts to /link for OAUTH2 / DCR_OAUTH (Jul 3 2026)","Re-consent user with new scopes; surface to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0058","auth","Operator creates an auth config with custom scopes","auth_config.scopes are insufficient (tool calls will 403 from upstream)","Use POST /connected_accounts for API_KEY / BEARER (still works)","Block connection; surface callback URL mismatch to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0059","auth","Operator creates an auth config with custom scopes","auth_config.callback_url matches provider app config","Call fetch_config to discover fields the user must supply at connect time","Enable auth config before allowing connections (PATCH status=ENABLED)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0060","auth","Operator creates an auth config with custom scopes","auth_config.callback_url mismatches provider app config (OAuth error)","Document the auth config flow in your app (Connect Link, callback, etc.)","Migrate deprecated endpoint before cutover (POST /connected_accounts -> /link)","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0061","auth","Operator creates an auth config with custom scopes","auth_config.credentials are present in dashboard (encrypted at rest)","Avoid deleting auth configs (orphans existing connections)","Block connection attempts; require operator to fix auth config","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0062","auth","Operator creates an auth config with custom scopes","auth_config.credentials are missing (POST will fail)","Use managed OAuth app for dev; switch to BYO for prod (branding, scopes)","Re-consent user with new scopes; surface to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0063","auth","Operator creates an auth config with custom scopes","auth_config.status == 'ENABLED'","Use the right scheme: OAUTH2 / API_KEY / BEARER_TOKEN / BASIC_AUTH","Block connection; surface callback URL mismatch to operator","high","docs.composio.dev/docs/authentication; docs.composio.dev/docs/tools-direct/authenticating-tools; docs.composio.dev/reference/api-reference/auth-configs"
"CO-0064","connected","User opens a Connect Link to authorize a toolkit","connected_account.status == 'ACTIVE' (can execute tools)","Use the connected account (status ACTIVE) to execute tools","Block tool execution; require user to re-authenticate","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0065","connected","User opens a Connect Link to authorize a toolkit","connected_account.status == 'INITIALIZING' (OAuth flow started, not complete)","Wait for user to complete OAuth (INITIATING -> ACTIVE); poll or subscribe","Wait (do not call /refresh) if status is INITIALIZING (user still in flow)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0066","connected","User opens a Connect Link to authorize a toolkit","connected_account.status == 'INITIATED' (Connect Link generated, user not yet completed)","Surface 'auth incomplete' to user; provide Connect Link again","Subscribe to webhook for proactive re-auth (don't poll)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0067","connected","User opens a Connect Link to authorize a toolkit","connected_account.status == 'FAILED' (auth attempt failed - check status_reason)","If Initializing > 10 min, mark as expired and ask user to retry (per changelog)","Do NOT auto-delete on EXPIRED; require user action","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0068","connected","User opens a Connect Link to authorize a toolkit","connected_account.status == 'EXPIRED' (refresh failed N times - user must re-auth)","Use status_reason field to explain why the connection is FAILED / EXPIRED","Page on-call if multiple users hit EXPIRED simultaneously (provider incident)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0069","connected","User opens a Connect Link to authorize a toolkit","connected_account.status == 'INACTIVE' (operator paused; tool calls will fail)","Subscribe to composio.connected_account.expired webhook (proactive)","Block tool calls; surface 'cross-tenant userID mismatch' (CRITICAL security)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0070","connected","User opens a Connect Link to authorize a toolkit","connection is older than 10 min in INITIALIZING/INITIATED (auto-expires per changelog)","Trigger re-auth flow (POST /connected_accounts/{id}/refresh) on EXPIRED","Block tool execution; require user to re-authenticate","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0071","connected","User opens a Connect Link to authorize a toolkit","connected_account.userID matches the requesting userID (auth isolation)","Generate a fresh Connect Link and surface to user for re-auth","Wait (do not call /refresh) if status is INITIALIZING (user still in flow)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0072","connected","User opens a Connect Link to authorize a toolkit","connected_account.userID does NOT match (cross-tenant attempt - block)","Block tool execution; surface 're-auth required' to agent / user","Subscribe to webhook for proactive re-auth (don't poll)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0073","connected","User opens a Connect Link to authorize a toolkit","connected_account.alias is set and resolvable","Rotate credentials at the provider first, then refresh (avoid half-rotated state)","Do NOT auto-delete on EXPIRED; require user action","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0074","connected","User opens a Connect Link to authorize a toolkit","multiple connected accounts exist for same (user, toolkit) - need alias to disambiguate","Use INACTIVE for subscription lapse / temporary pause (reversible)","Page on-call if multiple users hit EXPIRED simultaneously (provider incident)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0075","connected","User opens a Connect Link to authorize a toolkit","OAuth refresh token is in the connected account (Composio auto-refreshes)","Use DELETE only when user requests GDPR / account removal (permanent)","Block tool calls; surface 'cross-tenant userID mismatch' (CRITICAL security)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0076","connected","User opens a Connect Link to authorize a toolkit","OAuth refresh attempt failed (1st time) - still ACTIVE (Composio retries)","Always pin connected_account_id or alias (never rely on auto-pick for prod)","Block tool execution; require user to re-authenticate","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0077","connected","User opens a Connect Link to authorize a toolkit","OAuth refresh attempt failed (N times) - marked EXPIRED","Store connected_account_id in your DB (not userID) for fast lookup","Wait (do not call /refresh) if status is INITIALIZING (user still in flow)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0078","connected","User opens a Connect Link to authorize a toolkit","user revoked access on provider side (Google Account > Third-party apps)","Use alias (e.g. 'work', 'personal') to disambiguate multiple accounts","Subscribe to webhook for proactive re-auth (don't poll)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0079","connected","User opens a Connect Link to authorize a toolkit","OAuth app deleted in provider developer console (Composio can't refresh)","Pass custom_auth_params at execute for bring-your-own-credentials (you own refresh)","Do NOT auto-delete on EXPIRED; require user action","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
"CO-0080","connected","User opens a Connect Link to authorize a toolkit","provider revoked tokens (policy change / security event)","Set up retention cleanup: on user offboard, delete their connected accounts","Page on-call if multiple users hit EXPIRED simultaneously (provider incident)","high","docs.composio.dev/docs/auth-configuration/connected-accounts; docs.composio.dev/docs/managing-multiple-connected-accounts; docs.composio.dev/reference/api-reference/connected-accounts"
