"id","category","trigger","condition","if_action","else_action","severity","source_doc"
"GH-0026","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","self-hosted runner with matching label is offline (job queued)","Move heavy work from job to background step (saves minutes)","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0027","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","Actions minutes used < plan quota (free 2000, pro 3000, etc.)","Skip this workflow run (no-op); notify operator","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0028","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file uses permissions: read-all at workflow level","Approve required review (if user has permission) and continue","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0029","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file uses permissions: write-all at job level (overkill)","Mark run 'success'; emit 'workflow_ok' event; release concurrency lock","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0030","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","step has if: failure() AND previous step failed","Mark run 'failure'; capture first failed step; if recoverable, re-run with retry logic","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0031","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","step has if: success() AND previous step succeeded","Mark run 'cancelled'; emit 'workflow_cancelled' event; log cancellation reason","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0032","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","step has if: cancelled() AND workflow was cancelled","Re-run the failed jobs (workflow_dispatch with same inputs) and wait for success","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0033","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","composite action's action.yml is at .github/actions/<name>/action.yml","Re-run with debug logging enabled (ACTIONS_STEP_DEBUG=true) for next attempt","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0034","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","JavaScript action uses node20 runtime (deprecated soon)","Inspect 'always()' step - it ran and completed (good)","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0035","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","JavaScript action uses node24 runtime (current)","If 'always()' is set on a step, do NOT mark as cancelled (per docs)","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0036","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","Docker container action image is on ghcr.io (auth via GITHUB_TOKEN)","Force-cancel the in-flight run via API (use 'force-cancel-a-workflow-run')","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0037","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","Docker container action image is on Docker Hub (no auth for public)","Cancel via UI / API; wait 5 min for graceful; if still running, force-kill","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0038","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","Docker container action image is on private registry (auth required)","Wait for 360-min default timeout, do not pre-empt","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0039","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file has a syntax error (status: 'expected mapping')","Increase job-level timeout-minutes (e.g. 30 -> 60); re-trigger","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0040","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file uses deprecated workflow commands (::set-output)","Increase step-level timeout-minutes; re-trigger","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0041","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file uses deprecated save-state / set-env","Disable fail-fast: set strategy.fail-fast: false; let all legs finish","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0042","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","runner has sufficient disk / memory for job (resourceClass sized)","Quarantine the failing leg with continue-on-error; let others complete","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0043","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","job uses services: (postgres, redis) - container started","Mark the matrix job 'failure' but allow report to continue (matrix_fail = true)","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0044","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","job uses services: AND service image pull fails","Re-run just the failed leg (matrix index) using gh run rerun --failed","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0045","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","job has continue-on-error: ${{ matrix.experimental }} AND matrix value undefined","Validate workflow file with 'act' locally before pushing","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0046","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","job has strategy.matrix.exclude that drops all combinations (nothing runs)","Pin action to SHA instead of tag (supply chain hardening)","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0047","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","job has env: passed at job vs step level (step overrides job)","Switch deprecated node20 -> node24; re-run","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0048","actions_run","A scheduled workflow fires (cron)","workflow.conclusion == 'success'","Mark run 'failure'; capture first failed step; if recoverable, re-run with retry logic","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0049","actions_run","A scheduled workflow fires (cron)","workflow.conclusion == 'failure'","Mark run 'cancelled'; emit 'workflow_cancelled' event; log cancellation reason","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0050","actions_run","A scheduled workflow fires (cron)","workflow.conclusion == 'cancelled'","Re-run the failed jobs (workflow_dispatch with same inputs) and wait for success","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0051","secrets","A workflow tries to read secrets.MY_SECRET","secrets.MY_SECRET exists at repo level","Read secret via ${{ secrets.MY_SECRET }}; pass to action / env","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0052","secrets","A workflow tries to read secrets.MY_SECRET","secrets.MY_SECRET exists at org level with selected repos policy","Use GITHUB_TOKEN automatically (no config needed)","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0053","secrets","A workflow tries to read secrets.MY_SECRET","secrets.MY_SECRET exists at environment level with required reviewers","Pass GITHUB_TOKEN to action via 'with: token: ${{ secrets.GITHUB_TOKEN }}'","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0054","secrets","A workflow tries to read secrets.MY_SECRET","secrets.GITHUB_TOKEN exists in every job (auto-injected)","Use OIDC: request token from cloud, no long-lived secret needed","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0055","secrets","A workflow tries to read secrets.MY_SECRET","workflow.triggered_from_fork == true (secrets NOT passed, except GITHUB_TOKEN as read-only)","Configure OIDC trust on cloud provider (AWS IAM, GCP WIF, Azure federated)","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0056","secrets","A workflow tries to read secrets.MY_SECRET","env.MY_SECRET (non-secret env var) is at repo/org/environment level","Set permissions: read-all at workflow top (least privilege)","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0057","secrets","A workflow tries to read secrets.MY_SECRET","required_reviewer is online AND approves the environment deploy","Set permissions: write-all only on jobs that need it (specific scope)","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0058","secrets","A workflow tries to read secrets.MY_SECRET","required_reviewer is offline (job blocked on approval)","Set permissions: id-token: write for OIDC job; write for protected-branches job","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0059","secrets","A workflow tries to read secrets.MY_SECRET","permissions block sets GITHUB_TOKEN scope to contents: read","Configure environment required reviewers; wait for approval","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0060","secrets","A workflow tries to read secrets.MY_SECRET","permissions block sets GITHUB_TOKEN scope to id-token: write (OIDC)","Use environment secrets (different from repo secrets, scoped)","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0061","secrets","A workflow tries to read secrets.MY_SECRET","permissions block omits a needed scope (workflow job fails with 403 on API call)","Approve required review (if user is in reviewer list)","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0062","secrets","A workflow tries to read secrets.MY_SECRET","secret value accidentally logged to stdout (redaction kicks in)","Trigger approval workflow (notify reviewers in Slack/PagerDuty)","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0063","secrets","A workflow tries to read secrets.MY_SECRET","secret value accidentally logged via 'set-output' (deprecated, leaked)","Do not log secret to stdout (GitHub auto-redacts, but avoid any echo)","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0064","secrets","A workflow tries to read secrets.MY_SECRET","OIDC trust policy matches repo + branch + workflow path","Switch to OIDC + federated identity; remove long-lived cloud secret","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0065","secrets","A workflow tries to read secrets.MY_SECRET","OIDC trust policy does not match (cloud rejects token)","Refuse to log secrets even with redaction (best practice)","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0066","secrets","A workflow tries to read secrets.MY_SECRET","OIDC token audience (aud) matches cloud provider requirement","Verify secret rotation: old value still works on some runners (overlap window)","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0067","secrets","A workflow tries to read secrets.MY_SECRET","GITHUB_TOKEN is read-only on PR from public fork (regardless of permissions block)","Fail the workflow if required secret is missing (clear error)","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0068","secrets","A workflow tries to read secrets.MY_SECRET","GITHUB_TOKEN has elevated scope (write) and pushes commit (no recursive workflow)","If GITHUB_TOKEN is read-only on PR from fork, use a separate PAT (write)","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0069","secrets","A workflow tries to read secrets.MY_SECRET","GITHUB_TOKEN expires mid-job on self-hosted > 24h (use PAT instead)","For GITHUB_TOKEN push that doesn't recurse: this is expected, no action","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0070","secrets","A workflow tries to read secrets.MY_SECRET","Secret rotation in progress (old value still in use for some runners)","For expired GITHUB_TOKEN on long self-hosted job: switch to PAT","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0071","secrets","A workflow tries to read secrets.MY_SECRET","Secret deleted but workflow still references it (null/empty string)","Read secret via ${{ secrets.MY_SECRET }}; pass to action / env","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0072","secrets","A workflow tries to read secrets.GITHUB_TOKEN","secrets.MY_SECRET exists at repo level","Use GITHUB_TOKEN automatically (no config needed)","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0073","secrets","A workflow tries to read secrets.GITHUB_TOKEN","secrets.MY_SECRET exists at org level with selected repos policy","Pass GITHUB_TOKEN to action via 'with: token: ${{ secrets.GITHUB_TOKEN }}'","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0074","secrets","A workflow tries to read secrets.GITHUB_TOKEN","secrets.MY_SECRET exists at environment level with required reviewers","Use OIDC: request token from cloud, no long-lived secret needed","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0075","secrets","A workflow tries to read secrets.GITHUB_TOKEN","secrets.GITHUB_TOKEN exists in every job (auto-injected)","Configure OIDC trust on cloud provider (AWS IAM, GCP WIF, Azure federated)","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0076","secrets","A workflow tries to read secrets.GITHUB_TOKEN","workflow.triggered_from_fork == true (secrets NOT passed, except GITHUB_TOKEN as read-only)","Set permissions: read-all at workflow top (least privilege)","Block workflow; require operator to re-auth (PAT expired, etc.)","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0077","secrets","A workflow tries to read secrets.GITHUB_TOKEN","env.MY_SECRET (non-secret env var) is at repo/org/environment level","Set permissions: write-all only on jobs that need it (specific scope)","Refuse to log secret values; alert on secret-leak pattern in logs","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0078","secrets","A workflow tries to read secrets.GITHUB_TOKEN","required_reviewer is online AND approves the environment deploy","Set permissions: id-token: write for OIDC job; write for protected-branches job","Block workflow; require operator to set missing secret","critical","docs.github.com/actions/security-guides/using-secrets-in-github-actions; docs.github.com/actions/concepts/security/github_token; docs.github.com/actions/concepts/security/openid-connect"
"GH-0079","api","Agent calls GET /repos/{owner}/{repo} unauthenticated","request.authentication == null (unauthenticated, 60 req/h per IP)","Treat response as success; update local cache; return result","Halt all API activity for this token; require operator review","medium","docs.github.com/rest/using-the-rest-api/rate-limits-for-the-rest-api; docs.github.com/rest/authentication/authenticating-to-the-rest-api; docs.github.com/rest/using-the-rest-api/best-practices-for-using-the-rest-api"
"GH-0080","api","Agent calls GET /repos/{owner}/{repo} unauthenticated","request.authentication == classic PAT (5000 req/h per user)","Backoff per Retry-After header; re-queue request","Page on-call; do not retry 5xx blindly past 3 attempts","medium","docs.github.com/rest/using-the-rest-api/rate-limits-for-the-rest-api; docs.github.com/rest/authentication/authenticating-to-the-rest-api; docs.github.com/rest/using-the-rest-api/best-practices-for-using-the-rest-api"
"GH-0081","api","Agent calls GET /repos/{owner}/{repo} unauthenticated","request.authentication == fine-grained PAT (with expiry, scoped perms)","Wait until x-ratelimit-reset; re-queue","Fall back to cached state; surface 'API unavailable' to dependent code","medium","docs.github.com/rest/using-the-rest-api/rate-limits-for-the-rest-api; docs.github.com/rest/authentication/authenticating-to-the-rest-api; docs.github.com/rest/using-the-rest-api/best-practices-for-using-the-rest-api"
