id,scenario_num,domain,task_type,system,title,objective,context_name,context_detail,principal_risks,edge_cases,required_validation,completion_standard,layer,collection,chunk_id
CT-0011,11,Web APIs,Refactor safely,a versioned REST API for customer accounts,Web APIs — Refactor safely: a versioned REST API for customer accounts,Refactor a versioned REST API for customer accounts to improve maintainability without changing externally observable behavior.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",authorization gaps; timeout propagation; schema drift; breaking clients.,replayed requests; slow downstream services; mixed client versions.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,d65d072b85ef16bf98c6d80f
CT-0012,12,Web APIs,Refactor safely,a versioned REST API for customer accounts,Web APIs — Refactor safely: a versioned REST API for customer accounts,Refactor a versioned REST API for customer accounts to improve maintainability without changing externally observable behavior.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",timeout propagation; schema drift; breaking clients; duplicate requests.,replayed requests; slow downstream services; mixed client versions.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,ede164cfb9ad50da284d536e
CT-0013,13,Web APIs,Scale under load,a versioned REST API for customer accounts,Web APIs — Scale under load: a versioned REST API for customer accounts,Redesign a versioned REST API for customer accounts so it remains correct and responsive under significantly higher load.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",schema drift; breaking clients; duplicate requests; partial responses.,malformed payloads; replayed requests; slow downstream services.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,42d6dca9b2721359b9c59ff1
CT-0014,14,Web APIs,Scale under load,a versioned REST API for customer accounts,Web APIs — Scale under load: a versioned REST API for customer accounts,Redesign a versioned REST API for customer accounts so it remains correct and responsive under significantly higher load.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",breaking clients; duplicate requests; partial responses; authorization gaps.,malformed payloads; replayed requests; slow downstream services.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,8ba6df317ba473f41a4bebf8
CT-0015,15,Web APIs,Scale under load,a versioned REST API for customer accounts,Web APIs — Scale under load: a versioned REST API for customer accounts,Redesign a versioned REST API for customer accounts so it remains correct and responsive under significantly higher load.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",duplicate requests; partial responses; authorization gaps; timeout propagation.,replayed requests; slow downstream services; mixed client versions.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,26d574aa567c82bf4cb67cc1
CT-0016,16,Web APIs,Scale under load,a versioned REST API for customer accounts,Web APIs — Scale under load: a versioned REST API for customer accounts,Redesign a versioned REST API for customer accounts so it remains correct and responsive under significantly higher load.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",partial responses; authorization gaps; timeout propagation; schema drift.,replayed requests; slow downstream services; mixed client versions.,load tests; fault injection; authorization matrix tests; rollback verification.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,8adbcb037d1ca3c251eb0fe8
CT-0017,17,Web APIs,Harden security,a versioned REST API for customer accounts,Web APIs — Harden security: a versioned REST API for customer accounts,Threat-model and secure a versioned REST API for customer accounts against realistic abuse and attack paths.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",authorization gaps; timeout propagation; schema drift; breaking clients.,malformed payloads; replayed requests; slow downstream services.,authorization matrix tests; rollback verification; contract tests; load tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,beb45f1ae12203945a655501
CT-0018,18,Web APIs,Harden security,a versioned REST API for customer accounts,Web APIs — Harden security: a versioned REST API for customer accounts,Threat-model and secure a versioned REST API for customer accounts against realistic abuse and attack paths.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",timeout propagation; schema drift; breaking clients; duplicate requests.,malformed payloads; replayed requests; slow downstream services.,authorization matrix tests; rollback verification; contract tests; load tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,907e45129427209ac2ccd2f6
CT-0019,19,Web APIs,Harden security,a versioned REST API for customer accounts,Web APIs — Harden security: a versioned REST API for customer accounts,Threat-model and secure a versioned REST API for customer accounts against realistic abuse and attack paths.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",schema drift; breaking clients; duplicate requests; partial responses.,replayed requests; slow downstream services; mixed client versions.,rollback verification; contract tests; load tests; fault injection.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,6a0b35f7eb0b260122f969e2
CT-0020,20,Web APIs,Harden security,a versioned REST API for customer accounts,Web APIs — Harden security: a versioned REST API for customer accounts,Threat-model and secure a versioned REST API for customer accounts against realistic abuse and attack paths.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",breaking clients; duplicate requests; partial responses; authorization gaps.,replayed requests; slow downstream services; mixed client versions.,rollback verification; contract tests; load tests; fault injection.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,b3c9449631a942064c15f73a
CT-0021,21,Web APIs,Migrate with continuity,a versioned REST API for customer accounts,Web APIs — Migrate with continuity: a versioned REST API for customer accounts,Migrate a versioned REST API for customer accounts to a new architecture or platform without unacceptable downtime or data loss.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",duplicate requests; partial responses; authorization gaps; timeout propagation.,malformed payloads; replayed requests; slow downstream services.,load tests; fault injection; authorization matrix tests; rollback verification.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,7d914be6d87a7e1385ea702c
CT-0022,22,Web APIs,Migrate with continuity,a versioned REST API for customer accounts,Web APIs — Migrate with continuity: a versioned REST API for customer accounts,Migrate a versioned REST API for customer accounts to a new architecture or platform without unacceptable downtime or data loss.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",partial responses; authorization gaps; timeout propagation; schema drift.,malformed payloads; replayed requests; slow downstream services.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,e88ac7c253e8712920f74b8e
CT-0023,23,Web APIs,Migrate with continuity,a versioned REST API for customer accounts,Web APIs — Migrate with continuity: a versioned REST API for customer accounts,Migrate a versioned REST API for customer accounts to a new architecture or platform without unacceptable downtime or data loss.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",authorization gaps; timeout propagation; schema drift; breaking clients.,replayed requests; slow downstream services; mixed client versions.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,a3c21486910bd01c7de8bd07
CT-0024,24,Web APIs,Migrate with continuity,a versioned REST API for customer accounts,Web APIs — Migrate with continuity: a versioned REST API for customer accounts,Migrate a versioned REST API for customer accounts to a new architecture or platform without unacceptable downtime or data loss.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",timeout propagation; schema drift; breaking clients; duplicate requests.,replayed requests; slow downstream services; mixed client versions.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,942da20930e6c4120c4622f6
CT-0025,25,Web APIs,Add observability,a versioned REST API for customer accounts,Web APIs — Add observability: a versioned REST API for customer accounts,"Instrument a versioned REST API for customer accounts so operators can detect, diagnose, and explain failures quickly.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",schema drift; breaking clients; duplicate requests; partial responses.,malformed payloads; replayed requests; slow downstream services.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,1441c9b776f8601c641ce1f9
CT-0026,26,Web APIs,Add observability,a versioned REST API for customer accounts,Web APIs — Add observability: a versioned REST API for customer accounts,"Instrument a versioned REST API for customer accounts so operators can detect, diagnose, and explain failures quickly.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",breaking clients; duplicate requests; partial responses; authorization gaps.,malformed payloads; replayed requests; slow downstream services.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,d554d570edaa8896e29c7d82
CT-0027,27,Web APIs,Add observability,a versioned REST API for customer accounts,Web APIs — Add observability: a versioned REST API for customer accounts,"Instrument a versioned REST API for customer accounts so operators can detect, diagnose, and explain failures quickly.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",duplicate requests; partial responses; authorization gaps; timeout propagation.,replayed requests; slow downstream services; mixed client versions.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,29db1c741037ed45b4963225
CT-0028,28,Web APIs,Add observability,a versioned REST API for customer accounts,Web APIs — Add observability: a versioned REST API for customer accounts,"Instrument a versioned REST API for customer accounts so operators can detect, diagnose, and explain failures quickly.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",partial responses; authorization gaps; timeout propagation; schema drift.,replayed requests; slow downstream services; mixed client versions.,load tests; fault injection; authorization matrix tests; rollback verification.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,68da096e6a03e86f34f58431
CT-0029,29,Web APIs,Build test coverage,a versioned REST API for customer accounts,Web APIs — Build test coverage: a versioned REST API for customer accounts,"Create a layered automated test strategy for a versioned REST API for customer accounts, including failure and recovery paths.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",authorization gaps; timeout propagation; schema drift; breaking clients.,malformed payloads; replayed requests; slow downstream services.,authorization matrix tests; rollback verification; contract tests; load tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,8ef0a778290bd61f18009e8b
CT-0030,30,Web APIs,Build test coverage,a versioned REST API for customer accounts,Web APIs — Build test coverage: a versioned REST API for customer accounts,"Create a layered automated test strategy for a versioned REST API for customer accounts, including failure and recovery paths.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",timeout propagation; schema drift; breaking clients; duplicate requests.,malformed payloads; replayed requests; slow downstream services.,authorization matrix tests; rollback verification; contract tests; load tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,e313dd89b503af2381fbe8c1
CT-0031,31,Web APIs,Build test coverage,a versioned REST API for customer accounts,Web APIs — Build test coverage: a versioned REST API for customer accounts,"Create a layered automated test strategy for a versioned REST API for customer accounts, including failure and recovery paths.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",schema drift; breaking clients; duplicate requests; partial responses.,replayed requests; slow downstream services; mixed client versions.,rollback verification; contract tests; load tests; fault injection.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,bbdb4cc7e6303c3406dc3344
CT-0032,32,Web APIs,Build test coverage,a versioned REST API for customer accounts,Web APIs — Build test coverage: a versioned REST API for customer accounts,"Create a layered automated test strategy for a versioned REST API for customer accounts, including failure and recovery paths.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",breaking clients; duplicate requests; partial responses; authorization gaps.,replayed requests; slow downstream services; mixed client versions.,rollback verification; contract tests; load tests; fault injection.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,57af4cb5a11a2bc0973a025c
CT-0033,33,Web APIs,Optimize performance and cost,a versioned REST API for customer accounts,Web APIs — Optimize performance and cost: a versioned REST API for customer accounts,"Improve the latency, throughput, resource use, and operating cost of a versioned REST API for customer accounts.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",duplicate requests; partial responses; authorization gaps; timeout propagation.,malformed payloads; replayed requests; slow downstream services.,load tests; fault injection; authorization matrix tests; rollback verification.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,e6b6067acab1c57f5f534896
CT-0034,34,Web APIs,Optimize performance and cost,a versioned REST API for customer accounts,Web APIs — Optimize performance and cost: a versioned REST API for customer accounts,"Improve the latency, throughput, resource use, and operating cost of a versioned REST API for customer accounts.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",partial responses; authorization gaps; timeout propagation; schema drift.,malformed payloads; replayed requests; slow downstream services.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,1f94bfa468446021e321cfee
CT-0035,35,Web APIs,Optimize performance and cost,a versioned REST API for customer accounts,Web APIs — Optimize performance and cost: a versioned REST API for customer accounts,"Improve the latency, throughput, resource use, and operating cost of a versioned REST API for customer accounts.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",authorization gaps; timeout propagation; schema drift; breaking clients.,replayed requests; slow downstream services; mixed client versions.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,e8895b8ba933f112c9ec8a89
CT-0036,36,Web APIs,Optimize performance and cost,a versioned REST API for customer accounts,Web APIs — Optimize performance and cost: a versioned REST API for customer accounts,"Improve the latency, throughput, resource use, and operating cost of a versioned REST API for customer accounts.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",timeout propagation; schema drift; breaking clients; duplicate requests.,replayed requests; slow downstream services; mixed client versions.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,c4b8f8a605ee500243344b02
CT-0037,37,Web APIs,Engineer resilience,a versioned REST API for customer accounts,Web APIs — Engineer resilience: a versioned REST API for customer accounts,"Make a versioned REST API for customer accounts tolerate partial failures, retries, restarts, and dependency degradation.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",schema drift; breaking clients; duplicate requests; partial responses.,malformed payloads; replayed requests; slow downstream services.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,da99c58fd18778862f9c164c
CT-0038,38,Web APIs,Engineer resilience,a versioned REST API for customer accounts,Web APIs — Engineer resilience: a versioned REST API for customer accounts,"Make a versioned REST API for customer accounts tolerate partial failures, retries, restarts, and dependency degradation.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",breaking clients; duplicate requests; partial responses; authorization gaps.,malformed payloads; replayed requests; slow downstream services.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,a5854c336bbd416de81112c1
CT-0039,39,Web APIs,Engineer resilience,a versioned REST API for customer accounts,Web APIs — Engineer resilience: a versioned REST API for customer accounts,"Make a versioned REST API for customer accounts tolerate partial failures, retries, restarts, and dependency degradation.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",duplicate requests; partial responses; authorization gaps; timeout propagation.,replayed requests; slow downstream services; mixed client versions.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,c3d4e8dde8cf1c09c958ce49
CT-0040,40,Web APIs,Engineer resilience,a versioned REST API for customer accounts,Web APIs — Engineer resilience: a versioned REST API for customer accounts,"Make a versioned REST API for customer accounts tolerate partial failures, retries, restarts, and dependency degradation.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",partial responses; authorization gaps; timeout propagation; schema drift.,replayed requests; slow downstream services; mixed client versions.,load tests; fault injection; authorization matrix tests; rollback verification.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,b3be7c798beb97a6db25308d
CT-0041,41,Web APIs,Design and implement,a GraphQL gateway aggregating several services,Web APIs — Design and implement: a GraphQL gateway aggregating several services,Create a production-ready implementation of a GraphQL gateway aggregating several services.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",authorization gaps; timeout propagation; schema drift; breaking clients.,malformed payloads; replayed requests; slow downstream services.,authorization matrix tests; rollback verification; contract tests; load tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,9ae341c6a8a981bb6c1b990f
CT-0042,42,Web APIs,Design and implement,a GraphQL gateway aggregating several services,Web APIs — Design and implement: a GraphQL gateway aggregating several services,Create a production-ready implementation of a GraphQL gateway aggregating several services.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",timeout propagation; schema drift; breaking clients; duplicate requests.,malformed payloads; replayed requests; slow downstream services.,authorization matrix tests; rollback verification; contract tests; load tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,4db1d00651eee7f6ccb5ba94
CT-0043,43,Web APIs,Design and implement,a GraphQL gateway aggregating several services,Web APIs — Design and implement: a GraphQL gateway aggregating several services,Create a production-ready implementation of a GraphQL gateway aggregating several services.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",schema drift; breaking clients; duplicate requests; partial responses.,replayed requests; slow downstream services; mixed client versions.,rollback verification; contract tests; load tests; fault injection.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,353d6287569647407025e984
CT-0044,44,Web APIs,Design and implement,a GraphQL gateway aggregating several services,Web APIs — Design and implement: a GraphQL gateway aggregating several services,Create a production-ready implementation of a GraphQL gateway aggregating several services.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",breaking clients; duplicate requests; partial responses; authorization gaps.,replayed requests; slow downstream services; mixed client versions.,rollback verification; contract tests; load tests; fault injection.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,030277483334197cadf3cab3
CT-0045,45,Web APIs,Diagnose and repair,a GraphQL gateway aggregating several services,Web APIs — Diagnose and repair: a GraphQL gateway aggregating several services,"Investigate a failing a GraphQL gateway aggregating several services, identify the root cause, and implement a verified fix.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",duplicate requests; partial responses; authorization gaps; timeout propagation.,malformed payloads; replayed requests; slow downstream services.,load tests; fault injection; authorization matrix tests; rollback verification.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,5953521f7ec3a4ffc0527387
